title,researcher,institution,start_date,project_url
認知症プレクリニカル期・プロドローマル期を対象とするトライアルレディコホート構築研究,岩坪　威,東京大学,2019-04-19 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00013.html
日常生活活動(ADL)の評価指標の互換性と新しいADL指標の開発,大沢　愛子,国立長寿医療研究センター,2019-04-19 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00015.html
介護予防のための”通いの場”の総合的研究：実態把握と効果検証,荒井　秀典,国立長寿医療研究センター,2019-04-19 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00015.html
地域づくりによる介護予防の推進のための研究,近藤　克則,千葉大学,2019-04-19 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00015.html
地域高齢者のエンパワメントによるフレイル予防推進と健康長寿のまちづくり,飯島　勝矢,東京大学,2019-04-19 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00015.html
ビックデータを用いた高齢者の死に至る経時的変化の類型化に関する研究,松田　晋哉,産業医科大学,2019-04-19 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00015.html
保険レセプトデータを用いた死に至るまでの生活活動能力の経時的変化の類型化とその決定要因の解明,近藤　尚己,東京大学,2019-04-19 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00015.html
呼吸不全に対する在宅緩和医療の指針に関する研究,三浦　久幸,国立長寿医療研究センター,2019-04-19 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00015.html
高齢腎不全患者に対する腎代替療法の開始/見合わせの意思決定プロセスと最適な緩和医療・ケアの構築,柏原　直樹,川崎医科大学,2019-04-19 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00015.html
医生命学系学会の学会員研究倫理素養の均てん化に向けた学修機会の提供,市川 家國,信州大学,2019-04-03 00:00:00,https://www.amed.go.jp/koubo/10/01/1001C_00006.html
倫理審査委員会にかかわる人材育成のための統合的プログラムの開発,江花 有亮,東京医科歯科大学,2019-04-03 00:00:00,https://www.amed.go.jp/koubo/10/01/1001C_00006.html
医療分野における研究倫理教育教材の総合的活用プログラムの開発,松井 健志,国立がん研究センター,2019-04-03 00:00:00,https://www.amed.go.jp/koubo/10/01/1001C_00006.html
臨床研究トレーニングに組み入れ可能な能動的研究倫理学習プログラムの開発,森本 剛,兵庫医科大学,2019-04-03 00:00:00,https://www.amed.go.jp/koubo/10/01/1001C_00006.html
学際的アプローチによる研究倫理教育のモデル評価プログラムの開発と検証,瀬戸山 晃一,京都府立医科大学,2019-04-03 00:00:00,https://www.amed.go.jp/koubo/10/01/1001C_00006.html
研究公正の推進に資する質問紙調査の活用に関する研究,中村 征樹,大阪大学,2019-04-03 00:00:00,https://www.amed.go.jp/koubo/10/01/1001C_00006.html
研究機関の研究支援ガイドラインの構築に関する国際調査研究,野内 玲,信州大学,2019-04-03 00:00:00,https://www.amed.go.jp/koubo/10/01/1001C_00006.html
子宮腺筋症のゲノムおよびトランスクリプトーム解析に基づく発症・進展機序の解明と分子を標的とした診断・治療への応用,廣田　泰,東京大学,2019-04-01 00:00:00,https://www.amed.go.jp/koubo/04/02/0402C_00015.html
更年期障害の早期かつ客観的な診断が可能な新規パッチ式計測シートの研究開発,澤田　健二郎,大阪大学,2019-04-01 00:00:00,https://www.amed.go.jp/koubo/04/02/0402C_00015.html
妊孕能低下予防・妊合併症リスクの低減を目指したプレコンセプション女性に対する包括的支援プログラムの開発,甲賀　かをり,東京大学,2019-04-01 00:00:00,https://www.amed.go.jp/koubo/04/02/0402C_00015.html
女性診療を支援する「AI診断ナビゲーションシステム：WaiSE」の開発,片井　みゆき,東京女子医科大学,2019-04-01 00:00:00,https://www.amed.go.jp/koubo/04/02/0402C_00015.html
新生児低酸素性虚血性脳症の生物学的マーカーの実用化に向けた臨床研究,伊藤　雅之,国立精神・神経研究センター,2019-04-01 00:00:00,https://www.amed.go.jp/koubo/04/02/0402C_00011.html
乳幼児期に発症する疾患・障害の早期発見と予防的支援手法に関する研究開発－視覚障害について,東　範行,国立成育医療研究センター,2019-04-01 00:00:00,https://www.amed.go.jp/koubo/04/02/0402C_00011.html
ADHDまたは慢性疾患を持つ児への成育環境の影響を測定するマルチモーダルMRI神経ネットワーク指標の開発―Child Attachment Interview による愛着分類を用いて,石井　礼花,東京大学,2019-04-01 00:00:00,https://www.amed.go.jp/koubo/04/02/0402C_00011.html
学童・思春期のこころの客観的指標と連携システムの開発,中村　和彦,弘前大学,2019-04-01 00:00:00,https://www.amed.go.jp/koubo/04/02/0402C_00011.html
脳卒中患者の歩行障害改善に寄与するNIRSニューロリハシステムの研究開発,三原 雅史,川崎医科大学,2019-04-01 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00012.html
リハビリテーションロボット機器の有用性と運用に関する研究,大高 洋平,藤田医科大学,2019-04-01 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00012.html
BMI型環境制御装置「B-assist」の障害・疾患横断的な有用性の検討,中村 仁洋,国立障害者リハビリテーションセンター,2019-04-01 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00012.html
各種認識技術を応用した重度運動機能障害者向けICT機器操作環境の構築に関する研究,伊藤 和幸,国立障害者リハビリテーションセンター,2019-04-01 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00012.html
脳脊髄液減少症の病態生理と診断法の開発,荒木 信夫,埼玉医科大学,2019-04-01 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00012.html
筋痛性脳脊髄炎／慢性疲労症候群（ME/CFS）の血液診断法の開発,佐藤 和貴郎,国立精神・神経医療研究センター,2019-04-01 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00012.html
症例登録レジストリを活用した原因診断に基づく難聴の標準的介入手法確立および遠隔指導システム構築に向けた研究,宇佐美 真一,信州大学,2019-04-01 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00012.html
中途視覚障害者に対する運動介入がもたらす心理社会的機能の向上と運動支援プログラムの開発,清水 朋美,国立障害者リハビリテーションセンター,2019-04-01 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00012.html
精神医療分野における治療の質を評価するQIとその向上をもたらす介入技法の開発と実用性の検証,橋本 亮太,国立精神・神経医療研究センター,2019-04-01 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00012.html
認知行動療法の治療最適化ツールと客観的効果判定指標の開発,中川 敦夫,慶應義塾大学,2019-04-01 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00012.html
思春期の子供たちの心の健康を守り、精神障害への発展を予防する介入法の開発,古川 壽亮,京都大学,2019-04-01 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00012.html
薬物乱用・依存問題等の物質使用障害を抱える女性に対する効果的な地域内支援のあり方に関する研究,松本 俊彦,国立精神・神経医療研究センター,2019-04-01 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00012.html
精神科トランスレーショナルリサーチの推進に向けた臨床研究システムの開発,尾崎 紀夫,名古屋大学,2019-04-01 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00012.html
発達障害を含む精神疾患の社会機能・QOLをアウトカムとした実薬・プラセボ反応性予測因子の解明,大町 佳永,国立精神・神経医療研究センター,2019-04-01 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00012.html
精神障害や発達障害をもつ人のリカバリーへの内発的動機付けに注目した早期支援法の開発,多田 真理子,東京大学,2019-04-01 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00012.html
認知機能および主観的体験の改善を通じて社会機能の向上を目指した第2世代抗精神病薬持効性注射剤の用量最適化のエビデンス構築,竹内 啓善,慶應義塾大学,2019-04-01 00:00:00,https://www.amed.go.jp/koubo/01/04/0104C_00012.html
Oryza属に関するゲノム情報整備（イネ）,佐藤　豊,情報システム・研究機構,2019-03-29 00:00:00,https://www.amed.go.jp/koubo/04/01/0401C_00012.html
NBRP・コムギで整備中の東アジアコムギNAM集団親系統のゲノム多型解析（コムギ）,那須田　周平,京都大学,2019-03-29 00:00:00,https://www.amed.go.jp/koubo/04/01/0401C_00012.html
マウス個体で機能するタンパク質分解デグロンシステムの技術開発（実験動物マウス）,相賀　裕美子,情報システム・研究機構,2019-03-29 00:00:00,https://www.amed.go.jp/koubo/04/01/0401C_00012.html
ラット生殖工学基盤技術開発によるリソース保存の効率化と新規利用者の拡大（ラット）,浅野　雅秀,京都大学,2019-03-29 00:00:00,https://www.amed.go.jp/koubo/04/01/0401C_00012.html
特定の細胞の標識および操作を可能にするトランスジェニックフィッシュ系統の開発（ゼブラフィッシュ）,川上　浩一,情報システム・研究機構,2019-03-29 00:00:00,https://www.amed.go.jp/koubo/04/01/0401C_00012.html
パーキンソン病における疾患修飾薬候補の同定とprecision medicineの実現に向けたアカデミアと企業の技術融合による新たな創薬エコシステムの開発,赤松　和土,順天堂大学,2019-03-28 00:00:00,https://www.amed.go.jp/koubo/06/01/0601C_00057.html
精神障害のゲノム変異を起点としたバイオリソースと臨床情報の活用による非競争的フェーズにおける産学連携創薬の基盤構築,尾崎　紀夫,名古屋大学,2019-03-28 00:00:00,https://www.amed.go.jp/koubo/06/01/0601C_00057.html
大規模疾患レジストリとiPS細胞技術を活用した筋萎縮性側索硬化症に対する新規治療薬開発,祖父江　元,名古屋大学,2019-03-28 00:00:00,https://www.amed.go.jp/koubo/06/01/0601C_00057.html
多層オミックス解析による個別化緑内障創薬,中澤　徹,東北大学,2019-03-28 00:00:00,https://www.amed.go.jp/koubo/06/01/0601C_00057.html
シングルセル解析技術を用いた希少難治性神経筋疾患の病態解明と治療法開発,今村 恵子,京都大学,2019-03-26 00:00:00,https://www.amed.go.jp/koubo/01/05/0105C_00013.html
患者特異的iPS細胞を用いた福山型先天性筋ジストロフィーの病態解析と新規治療法開発,吉田 健司,京都大学,2019-03-26 00:00:00,https://www.amed.go.jp/koubo/01/05/0105C_00013.html
脳移行性経皮吸収ペプチドを用いたアルツハイマー病治療薬の前臨床試験,尾内 康臣,浜松医科大学,2019-03-26 00:00:00,https://www.amed.go.jp/koubo/05/01/0501C_00086.html
CRP遺伝子多型解析による食道癌リンパ節転移リスク診断キットの開発,本山 悟,秋田大学,2019-03-26 00:00:00,https://www.amed.go.jp/koubo/05/01/0501C_00086.html
ナノゲル型経鼻肺炎球菌ワクチンの開発,清野 宏,東京大学,2019-03-26 00:00:00,https://www.amed.go.jp/koubo/05/01/0501C_00086.html
気密環境下製造粘膜上皮シートの実用化,星 和人,東京大学,2019-03-26 00:00:00,https://www.amed.go.jp/koubo/05/01/0501C_00086.html
髄液中リゾリン脂質測定の客観的疼痛マーカーとしての臨床検査への導入,矢冨 裕,東京大学,2019-03-26 00:00:00,https://www.amed.go.jp/koubo/05/01/0501C_00086.html
再生組織の強度制御法を用いた臍帯由来人工血管の開発,石川 義弘,横浜市立大学,2019-03-26 00:00:00,https://www.amed.go.jp/koubo/05/01/0501C_00086.html
遺伝性疾患・神経線維腫症2型に対する革新的治療法（新規免疫療法）の開発,戸田 正博,慶應義塾大学,2019-03-26 00:00:00,https://www.amed.go.jp/koubo/05/01/0501C_00086.html
骨腫瘍切除後の再建のためのオーダーメイドインプラントの研究開発,安田 剛敏,富山大学,2019-03-26 00:00:00,https://www.amed.go.jp/koubo/05/01/0501C_00086.html
腸管免疫を利用した新規経口がんワクチンの開発,白川 利朗,神戸大学,2019-03-26 00:00:00,https://www.amed.go.jp/koubo/05/01/0501C_00086.html
CXCL2遺伝子とHVJ-Eの配合による癌免疫遺伝子治療剤の創出を目指した研究,金田 安史,大阪大学,2019-03-26 00:00:00,https://www.amed.go.jp/koubo/05/01/0501C_00086.html
神経難病GM2ガングリオシドーシスの遺伝子治療法開発,伊藤 孝司,徳島大学,2019-03-26 00:00:00,https://www.amed.go.jp/koubo/05/01/0501C_00086.html
抗重症熱性血小板減少症候群（SFTS）薬としての新規アモジアキン誘導体の開発研究,馬場 昌範,鹿児島大学,2019-03-26 00:00:00,https://www.amed.go.jp/koubo/05/01/0501C_00086.html
網膜色素変性症に対する経強膜ウノプロストン徐放製剤を用いた安全性及び有効性評価のためのⅠ/Ⅱa相試験,阿部 俊明,東北大学,2019-03-26 00:00:00,https://www.amed.go.jp/koubo/05/01/0501C_00086.html
胸部食道癌患者の放射線障害に対する、ニカラベンの無作為化第II相臨床試験（医師主導治験）,神宮 啓一,東北大学,2019-03-26 00:00:00,https://www.amed.go.jp/koubo/05/01/0501C_00086.html
血管免疫芽球性T細胞リンパ腫（AITL）及びその他の濾胞性ヘルパーT細胞リンパ腫に対するダサチニブの多施設第II相医師主導治験,千葉 滋,筑波大学,2019-03-26 00:00:00,https://www.amed.go.jp/koubo/05/01/0501C_00086.html
軟骨と粘膜上皮の複合再建を実現する再生気管軟骨の臨床展開,星 和人,東京大学,2019-03-26 00:00:00,https://www.amed.go.jp/koubo/05/01/0501C_00086.html
デュシェンヌ型筋ジストロフィーに対する新規配列連結型核酸医薬品の医師主導治験,青木 吉嗣,国立精神・神経医療研究センター,2019-03-26 00:00:00,https://www.amed.go.jp/koubo/05/01/0501C_00086.html
非切除膵癌を対象とした腫瘍溶解性ウイルスの腫瘍内局所投与療法の有効性と安全性に関する医師主導治験,井戸 章雄,鹿児島大学,2019-03-26 00:00:00,https://www.amed.go.jp/koubo/05/01/0501C_00086.html
ワイヤレス体内埋込型ブレイン・マシン・インターフェースによる運動機能・意思伝達機能再建装置の臨床試験,平田 雅之,大阪大学,2019-03-26 00:00:00,https://www.amed.go.jp/koubo/05/01/0501C_00086.html
遺伝子治療製品「Ad-SGE-REIC」の再発悪性神経膠腫対象第I/IIa相試験,伊達 勲,岡山大学,2019-03-26 00:00:00,https://www.amed.go.jp/koubo/05/01/0501C_00086.html
次世代シークエンス技術を用いたC型肝炎の直接作用型抗ウイルス薬による治療後病態に影響をおよぼす因子に関する研究,榎本 信幸,山梨大学,2019-03-22 00:00:00,https://www.amed.go.jp/koubo/01/06/0106C_00010.html
C型肝炎の直接作用型抗ウイルス薬による治療後の病態変化に影響を及ぼす宿主因子等の同定を目指したゲノムワイド研究,田中 靖人,名古屋市立大学,2019-03-22 00:00:00,https://www.amed.go.jp/koubo/01/06/0106C_00010.html
C型慢性肝炎からの肝発がんを予防する研究,金子 周一,金沢大学,2019-03-22 00:00:00,https://www.amed.go.jp/koubo/01/06/0106C_00010.html
リコンビナントCytoglobinを用いた脱肝線維化治療薬開発に関する研究,河田 則文,大阪市立大学,2019-03-22 00:00:00,https://www.amed.go.jp/koubo/01/06/0106C_00010.html
多機能幹細胞を用いた免疫賦活化療法による新規肝炎/肝癌治療の開発研究,大段 秀樹,広島大学,2019-03-22 00:00:00,https://www.amed.go.jp/koubo/01/06/0106C_00010.html
細胞性自然免疫応答賦活によるC型肝炎における肝発がん予防法の開発,加藤 直也,千葉大学,2019-03-22 00:00:00,https://www.amed.go.jp/koubo/01/06/0106C_00010.html
肝炎ウイルスの感染複製増殖と病原性発現を阻止するための基盤的研究とその応用のための基盤的開発,村松 正道,国立感染症研究所,2019-03-22 00:00:00,https://www.amed.go.jp/koubo/01/06/0106C_00010.html
Ｂ型肝炎に関する病態生理の新たな解明に基づく制御法開発,大塚 基之,東京大学,2019-03-22 00:00:00,https://www.amed.go.jp/koubo/01/06/0106C_00010.html
肝炎ウイルスの病原性発現を阻止する新しい治療法開発に資する研究,岡本 徹,大阪大学,2019-03-22 00:00:00,https://www.amed.go.jp/koubo/01/06/0106C_00010.html
B型肝炎ウイルスおよびヒトゲノムの解析に基づくクリニカルシークエンスに向けた研究,徳永 勝士,東京大学,2019-03-22 00:00:00,https://www.amed.go.jp/koubo/01/06/0106C_00010.html
Functional cureを可能とするHBVに対する免疫学的治療戦略の構築,山本 拓也,医薬基盤・健康・栄養研究所,2019-03-22 00:00:00,https://www.amed.go.jp/koubo/01/06/0106C_00010.html
C型肝炎ウイルス排除治療による肝硬変患者のアウトカムに関する研究開発,竹原 徹郎,大阪大学,2019-03-22 00:00:00,https://www.amed.go.jp/koubo/01/06/0106C_00010.html
NASHから肝硬変・肝癌へと至る過程における脂肪沈着減少（burned-out NASH）の意義解明とそれに基づく新規治療戦略,中川 勇人,東京大学,2019-03-22 00:00:00,https://www.amed.go.jp/koubo/01/06/0106C_00010.html
ヒトiPS細胞誘導性肝オルガノイドを用いた革新的疾患モデルの開発および肝線維化と発がんを抑止する治療法の創成,朝比奈 靖浩,東京医科歯科大学,2019-03-22 00:00:00,https://www.amed.go.jp/koubo/01/06/0106C_00010.html
B型肝炎ウイルス全長POLの大量発現系の開発とその新規薬剤開発への応用,杉山 真也,国立国際医療研究センター,2019-03-22 00:00:00,https://www.amed.go.jp/koubo/01/06/0106C_00010.html
肝細胞に内在する抗ウイルスシグナルの解明を基軸とした新規抗ウイルス戦略の開発,山根 大典,東京都医学総合研究所,2019-03-22 00:00:00,https://www.amed.go.jp/koubo/01/06/0106C_00010.html
肝疾患関連遺伝子TLL1の機能解析とその制御に関わる研究,高山 和雄,大阪大学,2019-03-22 00:00:00,https://www.amed.go.jp/koubo/01/06/0106C_00010.html
真菌関連アレルギー性気道疾患の発症・増悪予防を目指した体内・体外環境の評価と制御,浅野 浩一郎,東海大学,2019-03-20 00:00:00,https://www.amed.go.jp/koubo/01/05/0105C_00012.html
経皮感作対策による食物アレルギー発症予防研究,斎藤 博久,国立成育医療研究センター,2019-03-20 00:00:00,https://www.amed.go.jp/koubo/01/05/0105C_00012.html
NUDT15遺伝子型に基づき個人に最適化された安全かつ有効的なチオプリンによる免疫調節療法の開発,角田 洋一,東北大学,2019-03-20 00:00:00,https://www.amed.go.jp/koubo/01/05/0105C_00012.html
家族性地中海熱関連腸炎の診断法確立と病態解明を目指す研究,仲瀬 裕志,札幌医科大学,2019-03-20 00:00:00,https://www.amed.go.jp/koubo/01/05/0105C_00012.html
アトピー性皮膚炎の個別化予測医療を目指した皮膚微生物叢解析研究,天谷 雅行,慶應義塾大学,2019-03-20 00:00:00,https://www.amed.go.jp/koubo/01/05/0105C_00012.html
IL-33活性化の新規制御機構解明による難治性アレルギー性気道炎症の治療法開発,中山 俊憲,千葉大学,2019-03-20 00:00:00,https://www.amed.go.jp/koubo/01/05/0105C_00012.html
アレルギー性皮膚疾患の病態における発汗異常の解明と治療法の開発,秀 道広,広島大学,2019-03-20 00:00:00,https://www.amed.go.jp/koubo/01/05/0105C_00012.html
高機能性脂質代謝物を用いたアレルギー性皮膚炎制御法の開発,國澤 純,医薬基盤・健康・栄養研究所,2019-03-20 00:00:00,https://www.amed.go.jp/koubo/01/05/0105C_00012.html
関節リウマチ関連線維芽細胞サブセットを標的とした新規治療戦略の開発,溝口 史高,東京医科歯科大学,2019-03-20 00:00:00,https://www.amed.go.jp/koubo/01/05/0105C_00010.html
同種造血細胞移植後の再発白血病に対する新規アロ養子免疫療法の開発研究,赤塚 美樹,名古屋大学,2019-03-20 00:00:00,https://www.amed.go.jp/koubo/01/05/0105C_00020.html
臓器移植を革新する免疫プロファイリングによる個別化医療の開発,大段 秀樹,広島大学,2019-03-20 00:00:00,https://www.amed.go.jp/koubo/01/05/0105C_00020.html
遺伝子関連情報の解析を用いた臓器移植に関わる個別化医療に関する研究,福嶌 教偉,国立循環器病研究センター,2019-03-20 00:00:00,https://www.amed.go.jp/koubo/01/05/0105C_00020.html
客観的な資料に基づく活動性及び各種睡眠障害が心血管・代謝障害に与える影響とその病態生理解明の開発研究,陳 和夫,京都大学,2019-03-20 00:00:00,https://www.amed.go.jp/koubo/01/05/0105C_00021.html
血管病変の指標となるバイオマーカーの開発,石川 義弘,横浜市立大学,2019-03-20 00:00:00,https://www.amed.go.jp/koubo/01/05/0105C_00021.html
DNA損傷応答・核形態の機械学習による心不全の予後・治療応答予測モデルの構築,小室 一成,東京大学,2019-03-20 00:00:00,https://www.amed.go.jp/koubo/01/05/0105C_00021.html
東アジア特有の高血圧・脳梗塞リスクRNF213 p.R4810K多型の迅速判定法の確立と判定拠点の構築,猪原 匡史,国立循環器病研究センター,2019-03-20 00:00:00,https://www.amed.go.jp/koubo/01/05/0105C_00021.html
洞不全症候群の臨床情報・遺伝学的解析に基づくリスク層別化アルゴリズムの開発,大野 聖子,国立循環器病研究センター,2019-03-20 00:00:00,https://www.amed.go.jp/koubo/01/05/0105C_00021.html
光干渉断層イメージングのAI解析に基づく急性心筋梗塞発症予測法の開発,上村 史朗,川崎医科大学,2019-03-20 00:00:00,https://www.amed.go.jp/koubo/01/05/0105C_00021.html
腎 functional MRIとAIによる慢性腎臓病の進行リスク評価システムの構築,岡田 浩一,埼玉医科大学,2019-03-20 00:00:00,https://www.amed.go.jp/koubo/01/05/0105C_00021.html
iPS細胞由来肝細胞とヒト肝細胞の相関性評価に関する研究,阿久津　英憲,国立成育医療研究センター,2019-03-20 00:00:00,https://www.amed.go.jp/koubo/01/02/0102C_00048.html
皮膚疾患画像ナショナルデータベースの拡充とAI活用診療支援システムの開発,天谷 雅行,公益社団法人日本皮膚科学会,2019-03-01 00:00:00,https://www.amed.go.jp/koubo/05/01/0501C_00087.html
超音波デジタル画像のナショナルデータベース構築と人工知能支援型超音波診断システム開発に関する研究,工藤 正俊,近畿大学,2019-03-01 00:00:00,https://www.amed.go.jp/koubo/05/01/0501C_00087.html
