award_amount,award_amount_usd,country,created_date,currency,description,description_en,description_raw,end_date,end_year,funded_date,institutation,keyword,keyword_en,project_id,project_id_original,project_term,project_url,researcher,researcher_en,source,start_date,start_year,title,title_en,updated_date
,,,,,,,,,,,Estonian University of Life Sciences,,,PSG136,PSG136,,,Rein Drenkhan,,,,,"Massive invasions of forest pathogens to Northern Europe: early detection of new pathogens, determination of the pathways and modes of their arrival and search of the possibilities of their obstruction",,
,,,,,,,,,,,Tallinn University of Technology,,,PSG137,PSG137,,,Ants Kallaste,,,,,Additive Manufacturing of Electrical Machines,,
,,,,,,,,,,,Tallinn University of Technology,,,PSG142,PSG142,,,Lauri Kütt,,,,,Synthesis of output current waveforms of power electronic converters for increasing the hosting capacity of renewable energy sources in the distribution networks,,
,,,,,,,,,,,Estonian University of Life Sciences,,,PSG147,PSG147,,,Karin Kauer,,,,,Stability of soil organic matter,,
,,,,,,,,,,,National Institute of Chemical Physics and Biophysics,,,PRG4,PRG4,,,Raivo Stern,,,,,Emerging Novel Phases in Strongly Frustrated Quantum Magnets (ENIQMA),,
,,,,,,,,,,,University of Tartu,,,PRG11,PRG11,,,Ivari Kaljurand,,,,,Novel laser desorption/ionization high-resolution mass-spectrometric approaches for direct analysis of complex mixtures.,,
,,,,,,,,,,,Tallinn University,,,PRG29,PRG29,,,Lembi Lõugas,,,,,Foreign vs local in Medieval and Modern Age foodways in the eastern Baltic: tracing the changing food consumption through provenance analyses,,
,,,,,,,,,,,Institute of the Estonian Language,,,PRG34,PRG34,,,Kristiina Ross,,,,,Identity and power relations as reflected in the literary Estonian of the 16th–18th centuries,,
,,,,,,,,,,,University of Tartu,,,PRG49,PRG49,,,Helger Lipmaa,,,,,Cryptographic protocols and coding theory,,
,,,,,,,,,,,University of Tartu,,,PRG57,PRG57,,,Viljar Jaks,,,,,Elucidating the role of extracellular matrix in liver tissue repair and pathologies,,
,,,,,,,,,,,Tallinn University,,,PRG71,PRG71,,,Allan Puur,,,,,Contemporary demographic developments in Estonia: In search of pathways towards a more sustainable society,,
,,,,,,,,,,,Tallinn University of Technology,,,PRG83,PRG83,,,Kristjan Tabri,,,,,Numerical simulation of the FSI for the dynamic loads and response of ships,,
,,,,,,,,,,,University of Tartu,,,PRG111,PRG111,,,Mikhail Brik,,,,,Interrelations between the properties of impurities and hosts in novel optical materials: fundamental and applied aspects,,
,,,,,,,,,,,University of Tartu,,,PRG124,PRG124,,,Karin Sein,,,,,Protection of consumer rights in the Digital Single Market – contractual aspects,,
,,,,,,,,,,,University of Tartu,,,PRG184,PRG184,,,Lili Azin Milani,,,,,Role of Rare and Common Genetic Variants in Adverse Drug Reactions,,
,,,,,,,,,,,University of Tartu,,,PRG198,PRG198,,,Mart Ustav,,,,,"Development and validation of high-throughput cellular assay systems for identification of drug targets and inhibitors of Human papillomavirus cellular entry and replication, and establishment of preclinical animal model for testing efficiency of HPV drugs in vivo.",,
,,,,,,,,,,,University of Tartu,,,PRG230,PRG230,,,Tambet Teesalu,,,,,Homing peptides for targeted delivery of compounds across the blood-brain barrier,,
,,,,,,,,,,,University of Tartu,,,PRG243,PRG243,,,Mait Metspalu,,,,,Natural selection and migrations in shaping human genetic diversity in East European Plain. An ancient DNA study,,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Kersti Pärna,,,,,Epidemiological and genetic evidence of smoking behaviour and nicotine dependence among health professionals,,
,,,,,,,,,,,Tallinn University of Technology,start-up research grant,,,,,,Aaro Hazak,,,,,"Towards the Knowledge Economy: Incentives, Regulation and Capital Allocation",,
,,,,,,,,,,,University of Tartu,start-up research grant,,,,,,Dmitry Yarmolinsky,,,,,Reactive oxygen species-induced signaling in the regulation of stomatal movements,,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Katrin Õunap,,,,,The detection of new rare genetic diseases in children,,
,,,,,,,,,,,University of Tartu,start-up research grant,,,,,,Satish Narayana Srirama,,,,,Mobile and Cloud Computing Laboratory: From Exploiting Cloud in Science to Enabling Internet of Things,,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Peeter Saari,,,,,Search for new types of nondiffractive accelerating light pulses and their applications,,
,,,,,,,,,,,National Institute for Health Development,exploratory research grant,,,,,,Kersti Klaamas,,,,,Aberrant glycosylation of autoantibodies to tumor–associated glycans in cancer diagnostics and prognostics,,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Toivo Maimets,,,,,Mechanisms of AHR-dependent regulation of cell pluripotency,,
,,,,,,,,,,,Tallinn University of Technology,exploratory research grant,,,,,,Peep Männik,,,,,Environmental and faunal changes in the pre-Hirnantian Late Ordovician: a prelude to the end-Ordovician mass extinction? A Baltoscandian perspective,,
,,,,,,,,,,,Tallinn University of Technology,exploratory research grant,,,,,,Mihkel Koel,,,,,Aerogels as materials for chemical analysis,,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Agu Laisk,,,,,Lower than expected quantum yield of photosynthesis in leaves – mechanistic reasons and prospects of improvement,,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Vitaly Skachek,,,,,New Coding Techniques in Data Communications and Storage,,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Irina Paert,,,,,Altar and classroom: the Orthodox schools in the Baltic provinces 1870-1914,,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Mikhail Brik,,,,,"Modeling, Uncovering and Looking Towards Investigating Chalcopyrite Properties Unknown – MULTICPU",,
,,,,,,,,,,,Tallinn University of Technology,exploratory research grant,,,,,,Erwan Rauwel,,,,,Ultrastable metal nanoparticles synthesis aimed at applications in nanomedicine,,
,,,,,,,,,,,Tallinn University of Technology,exploratory research grant,,,,,,Arkadi Berezovski,,,,,Wave energy redistribution in solids with microstructure,,
,,,,,,,,,,,University of Tartu,start-up research grant,,,,,,Raul Vicente Zafra,,,,,Exploring synaptic memories through biophysical modeling and advanced machine learning,,
,,,,,,,,,,,National Institute of Chemical Physics and Biophysics,start-up research grant,,,,,,Dan Hüvonen,,,,,Disorder in Quantum Magnets: Dynamics and Criticality,,
,,,,,,,,,,,University of Tartu,start-up research grant,,,,,,Alar Rosentau,,,,,"Holocene relative sea level changes and Stone Age settlement in the periphery of the Fennoscandian glacial isostatic land-uplift region, from the eastern Baltic to the White Sea",,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Helle Metslang,,,,,Integrated model of morphosyntactic variation in written Estonian: a pilot study,,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Per Daniel Sävborg,,,,,Encountering the Otherworld in Medieval Nordic Literature: New Perspectives,,
,,,,,,,,,,,Tallinn University of Technology,exploratory research grant,,,,,,Maris Tõnso,,,,,"Modelling of control systems: theory, algorithms, software",,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Dagmar Kutsar,,,,,Care policies and family care from intergenerational perspective in Estonia: The ’crowding’ hypotheses revisited,,
,,,,,,,,,,,University of Tartu,start-up research grant,,,,,,Peeter Espak,,,,,The Ancient Near Eastern Creation Mythology and the Structural Developments of the Pantheon: Diachronical Analysis from the Earliest Sources to the First Dynasty of Babylon,,
,,,,,,,,,,,University of Tartu,start-up research grant,,,,,,Vinay Choubey,,,,,Neuroprotective mechanisms of Beclin1-Parkin interaction,,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Kristjan Vassil,,,,,"The impact of internet voting on turnout, political representation and voter confidence. A comparative study of internet voting in Estonia, Switzerland and Norway since 2005",,
,,,,,,,,,,,Tallinn University of Technology,start-up research grant,,,,,,Ivo Palu,,,,,Impact of new types of electricity generating patterns to high voltage equipment and cable insulations,,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Yuh-Shuh Wang,,,,,Novel aspects of stomatal regulation by isoprenoids,,
,,,,,,,,,,,Institute of the Estonian Language,exploratory research grant,,,,,,Kristiina Ross,,,,,The Cultural Shift in Estonian in the 17th and 18th century,,
,,,,,,,,,,,Tartu University Hospital,exploratory research grant,,,,,,Rain Jõgi,,,,,"RHINESSA Generation Study: Trans-generational and life-course perspective on environmental and life-style factors in relation to asthma, allergy and COPD",,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Toivo Aavik,,,,,The Location of Health in a Refined Basic Individual Values Model and Testing the Model’s Three-Dimensionality,,
,,,,,,,,,,,Tallinn University of Technology,exploratory research grant,,,,,,Urmas Arumäe,,,,,Therapeutic potential and mechanism of action of the neuroprotective peptide,,
,,,,,,,,,,,Tallinn University of Technology,start-up research grant,,,,,,Dimitar Dobchev,,,,,Large scale profiling of kinase enzymes,,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Marina Grišakova,,,,,Emergent Stories: Storytelling and Joint Sensemaking in Narrative Environments,,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Vasili Hauryliuk,,,,,ppGpp-mediated activation of RSH proteins: from the mechanism of allosteric regulation to computational properties of the stringent response system,,
,,,,,,,,,,,University of Tartu,start-up research grant,,,,,,Christian Ansgar Hundahl,,,,,Identification of Cold Inducible Factors,,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Ivar Ilves,,,,,Regulation of the CMG replicative helicase complex by the genotoxic stress response pathways,,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Viljar Jaks,,,,,Comparative study of the quiescent stem cells in normal liver and liver cancer: their role and regulation in normal and malignant tissue maintenance,,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Külli Kingo,,,,,"Molecular mechanisms of the pathogenesis of vitiligo, the role of t-cells in the pathogenesis of vitiligo",,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Veljo Kisand,,,,,"Fossil DNA based analysis of microbial community changes, paleobiodiversity in waterbodies and their relationship to trends in climate changes",,
,,,,,,,,,,,University of Tartu,start-up research grant,,,,,,Anneli Kruve,,,,,Enhancing Ionization Efficiecy in ESI by a Novel Nebulizer Design,,
,,,,,,,,,,,University of Tartu,start-up research grant,,,,,,Heisi Kurig,,,,,"Physical and electrochemical properties of hydrogen, different solutions and hydrides in micro-/mesoporous carbon materials",,
,,,,,,,,,,,Tallinn University,start-up research grant,,,,,,Tatjana Kuzovkina,,,,,Juri Lotman’s lifeworld in the post-WWII Estonia from the perspective of transnational history studies (based on materials of the archives of Juri Lotman and Zara Mints),,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Agnes Kütt,,,,,"Trapping intermediates – nitrenium and oxylium cations, carbenes, and free radicals",,
,,,,,,,,,,,Cybernetica AS,exploratory research grant,,,,,,Peeter Laud,,,,,Program Analyses and Optimizations for Secure Multiparty Computation Frameworks,,
,,,,,,,,,,,University of Tartu,start-up research grant,,,,,,Rael Laugesaar,,,,,"Neurological, cognitive and functional outcome of paediatric stroke, prognostic factors and association with reorganizations of motor and language centers in brain",,
,,,,,,,,,,,University of Tartu,start-up research grant,,,,,,Darja Lavõgina,,,,,Small-molecule probes for studies of protein kinase signalling (Aurora A/PIM/NuMa pathway) in live mitotic cells,,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Liina Lindström,,,,,Estonian Dialect Syntax,,
,,,,,,,,,,,Tallinn University of Technology,exploratory research grant,,,,,,Dieter Meissner,,,,,CZTS (Kesterite) Monograin Membranes for Photoelectrochemical Water Splitting,,
,,,,,,,,,,,Tartu Observatory,exploratory research grant,,,,,,Jukka Nevalainen,,,,,Where have half the baryons gone?,,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Kalle Olli,,,,,Mechanisms of changing biodiversity effects on ecosystem functioning at the base of a coastal food web,,
,,,,,,,,,,,University of Tartu,start-up research grant,,,,,,Francesco Orsi,,,,,The Unity of Normative Discourse: Between Reasons and Responsibility,,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Elena Pavlova,,,,,"Towards an Alternative Theory of Normative Power: A Comparative Analysis of Discourse and Foreign Policy of the European Union, Russian Federation and Latin America",,
,,,,,,,,,,,University of Tartu,start-up research grant,,,,,,Mari-Anne Philips,,,,,Genetic correlates of gene and protein expression endophenotypes in the brain areas of schizophrenic patients,,
,,,,,,,,,,,Tallinn University of Technology,exploratory research grant,,,,,,Ahti-Veikko Pietarinen,,,,,Diagrammatic Mind: Logical and Communicative Aspects of Iconicity,,
,,,,,,,,,,,Tartu Observatory,start-up research grant,,,,,,Jan Pisek,,,,,ForESt undersTory StructurE and sEasonal Dynamics by multi-angle remote Sensing (EST SEEDS),,
,,,,,,,,,,,Tartu University Hospital,exploratory research grant,,,,,,Margus Punab,,,,,Causes of male factor infertility with special emphasis to the male accessory gland infections,,
,,,,,,,,,,,University of Tartu,start-up research grant,,,,,,Janika Päll,,,,,Humanist Greek in Early Modern Estonia and Livonia: a bridge to modern and ancient European culture,,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Ana Rebane,,,,,The role of microRNAs in regulation of immune responses in allergic asthma and atopic dermatitis,,
,,,,,,,,,,,Tallinn University,start-up research grant,,,,,,Hugo Reinert,,,,,"Life in the Sacrifice Zone: Biopower, Territoriality and Ruination",,
,,,,,,,,,,,Tallinn University,start-up research grant,,,,,,Triin Roosalu,,,,,Alternatives at work and work organisation: flexible postsocialist societies,,
,,,,,,,,,,,Tallinn University of Technology,exploratory research grant,,,,,,Ago Samoson,,,,,Smart spinning,,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Anti Selart,,,,,Medieval Livonia: European periphery and its centres (12th-16th centuries),,
,,,,,,,,,,,University of Tartu,start-up research grant,,,,,,Marten Seppel,,,,,The cameralist turn in the state administration in the 17th-18th centuries,,
,,,,,,,,,,,University of Tartu,start-up research grant,,,,,,Andra Siibak,,,,,Conceptualisations and experiences with public and private in technologically saturated society,,
,,,,,,,,,,,National Institute of Chemical Physics and Biophysics,exploratory research grant,,,,,,Raivo Stern,,,,,Emerging Quantum Frustrated Magnets,,
,,,,,,,,,,,Tallinn University of Technology,exploratory research grant,,,,,,Vitali Sõritski,,,,,Investigation and development of new generation biosensing selective recognition elements based on Molecularly Imprinted Polymers,,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Vahur Zadin,,,,,Multiscale simulations of dislocation generation in rf electric fields in the linear accelerator design,,
,,,,,,,,,,,University of Tartu,start-up research grant,,,,,,Aile Tamm,,,,,"Nanostructures for investigation of electrical, plasmonic and spin effects",,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Leho Tedersoo,,,,,Fungal biodiversity response to richness of living plants and litter,,
,,,,,,,,,,,University of Tartu,exploratory research grant,,,,,,Marika Väli,,,,,Estimation of time since death (postmortem interval). Significance of biochemical investigation.,,
,,,,,,,,,,,Estonian Biocentre,exploratory research grant,,,,,,Tõnis Örd,,,,,The role of pseudokinase Trib3 in the regulation of stress response and cell death,,
,,,,,,,,,,,Estonian Academy of Arts,IUT32-1,,,,,,Kalm Mart,,,,,Readdressing practices and theories of experimentation in the 20th- and 21st-century Estonian visual and spatial culture,,
,,,,,,,,,,,Estonian University of Life Sciences,IUT36-2,,,,,,Mänd Marika,,,,,Sustainable crop protection: harnessing ecosystem services for plant production,,
,,,,,,,,,,,Institute of Estonian Language,IUT35-1,,,,,,Mihkla Meelis,,,,,"Speech styles, sentence prosody, phonological variation: description, theory and modelling",,
,,,,,,,,,,,National Institute for Health Development,IUT42-1,,,,,,Golovljova Irina,,,,,Zoonotic and hepatotropic pathogens in Estonia: old and new emerging infections and their impact on public health,,
,,,,,,,,,,,National Institute for Health Development,IUT42-2,,,,,,Veidebaum Toomas,,,,,"Familial aggregation, dietary habits and longitudinal changes of risk factors of chronic diseases and determinants of risky health behaviour",,
,,,,,,,,,,,National Institute of Chemical Physics and Biophysics,IUT39-1,,,,,,Heinsalu Els,,,,,The role of diversity in complex systems,,
,,,,,,,,,,,Tallinn University,IUT31-10,,,,,,Saar Ellu,,,,,Cumulative processes in the interplay of educational path and work career: explaining inequalities in the context of neoliberalization,,
,,,,,,,,,,,Tallinn University,IUT31-6,,,,,,Brüggemann Karsten,,,,,"A Transnational Setting for Estonian History: Transcultural Entanglements, International Organisations and Transborder Migrations (16th – 21st Centuries)",,
,,,,,,,,,,,Tallinn University of Technology,IUT33-13,,,,,,Uustalu Tarmo,,,,,"Methods, tools and processes for software with strong guarantees",,
,,,,,,,,,,,Tallinn University of Technology,IUT33-19,,,,,,Trikkel Andres,,,,,"Fundamentals of multicomponent mineral-organic systems: Chemistry, modeling and sustainable processing",,
,,,,,,,,,,,Tallinn University of Technology,IUT33-20,,,,,,Vaher Merike,,,,,Advancing analytical and computational chemistry methods for regulatory decisions,,
,,,,,,,,,,,Tallinn University of Technology,IUT33-24,,,,,,Salupere Andrus,,,,,Wave propagation in complex media and applications,,
,,,,,,,,,,,Tallinn University of Technology,IUT33-3,,,,,,Soomere Tarmo,,,,,Wave dynamics for coastal engineering and management,,
,,,,,,,,,,,Tallinn University of Technology,IUT33-7,,,,,,Vendelin Marko,,,,,"Relationships between microstructure, energy transfer, and performance in heart",,
,,,,,,,,,,,Tallinn University of Technology,IUT33-9,,,,,,Kruusmaa Maarja,,,,,Bio-inspired underwater robots,,
,,,,,,,,,,,Tartu Observatory,IUT40-1,,,,,,Kolka Indrek,,,,,Variability and evolution of massive stars in the Gaia era,,
,,,,,,,,,,,Tartu Observatory,IUT40-2,,,,,,Tempel Elmo,,,,,The role of dark matter filaments in large-scale structure and assembly of galaxies,,
,,,,,,,,,,,University of Tartu,IUT34-11,,,,,,Remm Maido,,,,,Methods for faster and more reliable analysis of genome sequences,,
,,,,,,,,,,,University of Tartu,IUT34-12,,,,,,Laan Maris,,,,,Genetic and molecular determinants in human reproductive success,,
,,,,,,,,,,,University of Tartu,IUT34-14,,,,,,Maran Uko,,,,,Descriptive and predictive modelling and design in elucidating chemico-biological interactions and assessing chemical safety,,
,,,,,,,,,,,University of Tartu,IUT34-16,,,,,,Karro Helle,,,,,Basic and translational approaches for female reproductive medicine: continuum from oocyte maturation to delivery,,
,,,,,,,,,,,University of Tartu,IUT34-17,,,,,,Uusküla Anneli,,,,,Health research in a continuum of the evidence based health practice in Estonia,,
,,,,,,,,,,,University of Tartu,IUT34-18,,,,,,Heinämäki Jyrki Tapio,,,,,Multifunctional nanomedicines – design and quality assessment,,
,,,,,,,,,,,University of Tartu,IUT34-19,,,,,,Mändar Reet,,,,,Modulating the disturbances in human microbial ecology in different health conditions,,
,,,,,,,,,,,University of Tartu,IUT34-24,,,,,,Lutsar Irja,,,,,Management of infections in the immunocompromised host – from bench to bedside,,
,,,,,,,,,,,University of Tartu,IUT34-27,,,,,,Jaaniso Raivo,,,,,Photoinduced processes for advancement of gas sensing materials,,
,,,,,,,,,,,University of Tartu,IUT34-30,,,,,,Pild Lea,,,,,Ideology of Translation and Translation of Ideology: Mechanisms of Cultural Dynamics under the Russian Empire and Soviet Power in Estonia in the 19th – 20th Centuries,,
,,,,,,,,,,,University of Tartu,IUT34-32,,,,,,Kuutma Kristin,,,,,Cultural heritage as a socio-cultural resource and contested field,,
,,,,,,,,,,,University of Tartu,IUT34-4,,,,,,Vilo Jaak,,,,,Data Science Methods and Applications (DSMA),,
,,,,,,,,,,,University of Tartu,IUT34-5,,,,,,Lember Jüri,,,,,Mathematical statistics: theory and applications,,
,,,,,,,,,,,University of Tartu,IUT34-6,,,,,,Pedaste Margus,,,,,Smart technologies and digital literacy in promoting a change of learning,,
,,,,,,,,,,,University of Tartu,IUT34-7,,,,,,Lõhmus Asko,,,,,Novel ecosystems and ecological restoration in the context of sustainable management,,
,,,,,,,,,,,University of Tartu,IUT34-8,,,,,,Hõrak Peeter,,,,,"Explaining mechanisms and functions of individual covariation of behaviour, signal traits and immunity in the context of the pace-of-life-syndrome",,
,,,,,,,,,,,University of Tartu,IUT34-9,,,,,,Sellin Arne,,,,,Forest ecosystem acclimation to increasing atmospheric humidity and interacting environmental drivers,,
,,,,,,,,,,,Cybernetica AS,IUT27-1,,,,,,Laud Peeter,,,,,"Theory and Practice of Secure Intergovernmental, -organizational, and -personal Information Exchange",,
,,,,,,,,,,,Estonian Biocentre,IUT24-1,,,,,,Villems Richard,,,,,The dawn of whole genomic era in archaeogenetics,,
,,,,,,,,,,,Estonian Literary Museum,IUT22-2,,,,,,Laak Marin,,,,,"Formal and Informal Networks of Literature, Based on Sources of Cultural History",,
,,,,,,,,,,,Estonian Literary Museum,IUT22-4,,,,,,Sarv Mari,,,,,Folklore in the Process of Cultural Communication: Ideologies and Communities,,
,,,,,,,,,,,Estonian Literary Museum,IUT22-5,,,,,,Kõiva Mare,,,,,Narrative and belief aspects of folklore studies,,
,,,,,,,,,,,Estonian University of Life Sciences,IUT21-1,,,,,,Kull Tiiu,,,,,Non-additive impact of border-richness to biota,,
,,,,,,,,,,,Estonian University of Life Sciences,IUT21-2,,,,,,Nõges Tiina,,,,,Lake food webs and C metabolism across gradients of catchment alkalinity and climate,,
,,,,,,,,,,,Estonian University of Life Sciences,IUT21-4,,,,,,Uri Veiko,,,,,The carbon dynamics in Estonian forests affected by sustainable management,,
,,,,,,,,,,,National Institute of Chemical Physics and Biophysics,IUT19-17,,,,,,Klauson Aleksander,,,,,"Dynamical processes in hydraulic networks, marine structures and sea environment",,
,,,,,,,,,,,National Institute of Chemical Physics and Biophysics,IUT23-1,,,,,,Käämbre Tuuli,,,,,Mechanisms of regulation of integrated energy metabolism in tumor and muscle cells.,,
,,,,,,,,,,,National Institute of Chemical Physics and Biophysics,IUT23-3,,,,,,Rõõm Toomas,,,,,Interaction of THz radiation with magnetic excitations,,
,,,,,,,,,,,National Institute of Chemical Physics and Biophysics,IUT23-4,,,,,,Kadastik Mario,,,,,Experimental high energy physics at the CMS experiment at LHC,,
,,,,,,,,,,,National Institute of Chemical Physics and Biophysics,IUT23-5,,,,,,Kahru Anne,,,,,Nano(eco)toxicology and beyond (ToxBe),,
,,,,,,,,,,,National Institute of Chemical Physics and Biophysics,IUT23-6,,,,,,Raidal Martti,,,,,Origin of Mass,,
,,,,,,,,,,,National Institute of Chemical Physics and Biophysics,IUT23-7,,,,,,Heinmaa Ivo,,,,,NMR investigations of the local structure and dynamics in solids and solutions,,
,,,,,,,,,,,National Institute of Chemical Physics and Biophysics,IUT23-9,,,,,,Rebane Aleksander,,,,,Multi-photon functional optical sensing materials,,
,,,,,,,,,,,Tallinn University,IUT18-2,,,,,,Goodson Ivor,,,,,Teachers’ professionality and professionalism in changing context,,
,,,,,,,,,,,Tallinn University,IUT18-4,,,,,,Belobrovtseva Irina,,,,,"Estonia between East and West: The Paradigm of the Images of “Own”, “Other”, “Strange”, “Enemy” in Estonian Cultures in the 20th Century",,
,,,,,,,,,,,Tallinn University,IUT18-8,,,,,,Mänd Anu,,,,,"The Making of Livonia: Actors, Institutions and Networks in the Medieval and Early Modern Baltic Sea Region",,
,,,,,,,,,,,Tallinn University,IUT18-9,,,,,,Sugita Shinya,,,,,"Environmental Changes and Their Effects on the Coastal Landscape of Estonia: Past, Present and Future – ENCHANTED",,
,,,,,,,,,,,Tallinn University of Technology,IUT19-1,,,,,,Raik Jaan,,,,,Dependable multi-core computing systems,,
,,,,,,,,,,,Tallinn University of Technology,IUT19-11,,,,,,Min Mart,,,,,"Impedance spectroscopy based identification and control of objects: signals, algorithms, energy efficient solutions",,
,,,,,,,,,,,Tallinn University of Technology,IUT19-13,,,,,,Drechsler Wolfgang Johannes Max,,,,,Challenges to state modernization in 21st century Europe: Theoretical developments and future scenarios,,
